Experimento,Epoca,Loss,Accuracy,Tiempo_Total (s),Throughput (samples/s)
MNIST + MLP,1,0.23631527891724127,0.9675,87.87792992591858,3413.826432335185
MNIST + MLP,2,0.11001971081745174,0.9744,87.87792992591858,3413.826432335185
MNIST + MLP,3,0.0853303305984441,0.9768,87.87792992591858,3413.826432335185
MNIST + MLP,4,0.07117676424574472,0.9745,87.87792992591858,3413.826432335185
MNIST + MLP,5,0.06178994251088476,0.9771,87.87792992591858,3413.826432335185
MNIST + CNN Small,1,0.15661486735922903,0.9852,84.2918860912323,3559.061422297499
MNIST + CNN Small,2,0.05247804817722749,0.9886,84.2918860912323,3559.061422297499
MNIST + CNN Small,3,0.03960972877725937,0.9894,84.2918860912323,3559.061422297499
MNIST + CNN Small,4,0.030375064930103883,0.9907,84.2918860912323,3559.061422297499
MNIST + CNN Small,5,0.02485644435030974,0.9911,84.2918860912323,3559.061422297499
CIFAR-10 + CNN Medium,1,1.4884111491005745,0.6026,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,2,1.0974571589771134,0.6545,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,3,0.9440874815596949,0.7073,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,4,0.8559868118494672,0.722,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,5,0.7917814598135327,0.7447,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,6,0.7537184466257729,0.7515,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,7,0.7086564730424101,0.763,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,8,0.6872299651584357,0.7825,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,9,0.6581279692594962,0.7864,231.56481194496155,2159.222706595164
CIFAR-10 + CNN Medium,10,0.6489283520623547,0.7895,231.56481194496155,2159.222706595164
CIFAR-100 + CNN Large,1,3.936264372299058,0.1546,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,2,3.2911695741493583,0.2662,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,3,2.8152346214421344,0.3484,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,4,2.458330490157456,0.4061,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,5,2.1990149971467137,0.4489,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,6,2.003350896630925,0.4896,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,7,1.8585494733817747,0.5134,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,8,1.7288197195842643,0.5416,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,9,1.623192317922071,0.5386,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,10,1.521929307351567,0.5696,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,11,1.4442743138479865,0.583,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,12,1.3613550384610567,0.5882,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,13,1.281410814666321,0.6051,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,14,1.2257018792118235,0.6069,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,15,1.1583049636732212,0.6195,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,16,1.1033256226103045,0.6238,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,17,1.0438513968209007,0.6249,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,18,1.0002018009251077,0.641,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,19,0.9549465527613805,0.6435,1672.2214789390564,598.0069103253306
CIFAR-100 + CNN Large,20,0.9042768924761032,0.6469,1672.2214789390564,598.0069103253306
IMDB + Transformer Small,1,0.6573002852275444,0.68064,530.586333990097,235.58842735352664
IMDB + Transformer Small,2,0.5779148382650151,0.71392,530.586333990097,235.58842735352664
IMDB + Transformer Small,3,0.5384034817312592,0.7408,530.586333990097,235.58842735352664
IMDB + Transformer Small,4,0.5139787312756726,0.75264,530.586333990097,235.58842735352664
IMDB + Transformer Small,5,0.49535407606447956,0.75936,530.586333990097,235.58842735352664
WikiText + Transformer Medium,1,0.07307210284448991,563.1468505859375,178.39656472206116,31.951287901089934
WikiText + Transformer Medium,2,0.0019190920735946376,562.8931274414062,178.39656472206116,31.951287901089934
WikiText + Transformer Medium,3,0.0012685439785039756,562.7283935546875,178.39656472206116,31.951287901089934
